standard location,stimuli location,bootstrap row,gm mag,gm stdev,sm mag,sm stdev,train error,test error
180,-90,0,0.727774054,24.8240839,0.70503898,26.24803078,0.001919246,0.004938314
180,-90,1,0.755779318,53.76677699,0.753156809,56.12110863,0.00173749,0.002402161
180,-90,2,0.758458308,54.42168103,0.761436245,58.21507089,0.003682795,0.002977481
180,-90,3,0.733089909,153.788456,4.994296074,456.5461846,0.002184898,0.002110898
180,-90,4,0.746087052,27.84100776,0.72702632,28.81584594,0.001249721,0.001379425
180,-90,5,0.744794385,41.85200653,0.733911262,44.20382753,0.002576765,0.002410583
180,-90,6,0.753150724,41.67783388,0.740335901,43.31167149,0.001565433,0.001919749
180,-90,7,0.752814844,53.9432741,0.745674234,56.39836768,0.002050829,0.002227763
180,-90,8,0.740229208,78.73523956,0.785815402,86.63951427,0.00315848,0.002416134
180,-90,9,0.752334104,35.89454485,0.734798406,37.6349159,0.002065784,0.001865672
180,-90,10,0.751240817,35.43626986,0.739108095,37.11054438,0.001642897,0.001623694
180,-90,11,0.748218971,57.67634166,0.743242816,60.08105538,0.00164038,0.001951552
180,-90,12,0.748252219,33.58127036,0.734889451,35.37707225,0.001937899,0.001612208
180,-90,13,0.735462837,80.99073063,0.777699882,89.54466171,0.003149298,0.003387854
180,-90,14,0.756320713,76.18859175,0.789295482,83.08423359,0.003032965,0.002519467
180,-90,15,0.7452111,31.94416689,0.724385883,33.12095432,0.001492793,0.001772203
180,-90,16,0.726201613,11.36538135,0.705564609,16.74880102,0.001475175,0.00445377
180,-90,17,0.731161954,119.1534398,0.950887253,147.0811001,0.001570989,0.002293803
180,-90,18,0.755407441,64.75830959,0.760160796,67.93190978,0.001625266,0.002349831
180,-90,19,0.734172098,64.93173602,0.738902528,68.42311287,0.001869578,0.002747659
180,-90,20,0.72628938,33.30094186,0.709190814,34.68009433,0.001518631,0.004203051
180,-90,21,0.750459932,41.0698228,0.743252541,43.45594423,0.002527327,0.002078128
180,-90,22,0.759724069,48.95477393,0.750175645,51.21117646,0.002158803,0.002681689
180,-90,23,0.759844357,44.10106333,0.748048638,45.73700777,0.001510311,0.002553994
180,-90,24,0.756825679,40.89351306,0.743650372,42.72780472,0.001912554,0.00217701
180,-90,25,0.759032395,45.57613081,0.7479168,47.19549126,0.001422255,0.00250785
180,-90,26,0.738071122,147.8960329,4.999999999,443.5885877,0.002756853,0.002111651
180,-90,27,0.736346774,13.61189931,0.715287661,15.96870054,0.00116122,0.002194578
180,-90,28,0.735196014,121.5551204,1.075870108,162.302276,0.002257345,0.002370608
180,-90,29,0.733397023,37.24705694,0.7182593,38.86634459,0.001668914,0.003019299
180,-90,30,0.743452409,38.32424177,0.728696043,39.77962489,0.001505359,0.001795405
